source_id,laboratory_anchor,source_asset_id,source_row,source_column,source_coordinate,source_sample,canonical_accession,source_identifier,measurement_batch_id,biological_unit_id,cohort_label,timepoint,technical_replicate_id,author_numeric_value,author_value_state,rank_target_eligible
PXD064962_UCD_EVENT,University College Dublin / Conway Institute,protein_groups,51,LFQ intensity T_D3_119b_2_S1-B8_6656,LFQ intensity T_D3_119b_2_S1-B8_6656:51,T_D3_119b_2_S1-B8_6656,Q04695,CON__Q04695;Q04695;CON__P19001;CON__Q9C075;CON__Q99PS0;Q9C075,T_D3_119b,T_D3_119b,TERM,D3,2,114.2,POSITIVE,true
PXD064962_UCD_EVENT,University College Dublin / Conway Institute,protein_groups,51,LFQ intensity T_D3_155_1_S1-G7_6699,LFQ intensity T_D3_155_1_S1-G7_6699:51,T_D3_155_1_S1-G7_6699,Q04695,CON__Q04695;Q04695;CON__P19001;CON__Q9C075;CON__Q99PS0;Q9C075,T_D3_155,T_D3_155,TERM,D3,1,0.0,EXPLICIT_ZERO,false
PXD064962_UCD_EVENT,University College Dublin / Conway Institute,protein_groups,51,LFQ intensity T_D3_155_2_S1-H7_6700,LFQ intensity T_D3_155_2_S1-H7_6700:51,T_D3_155_2_S1-H7_6700,Q04695,CON__Q04695;Q04695;CON__P19001;CON__Q9C075;CON__Q99PS0;Q9C075,T_D3_155,T_D3_155,TERM,D3,2,0.0,EXPLICIT_ZERO,false
PXD064962_UCD_EVENT,University College Dublin / Conway Institute,protein_groups,51,LFQ intensity T_D3_178_1_S1-C7_6669,LFQ intensity T_D3_178_1_S1-C7_6669:51,T_D3_178_1_S1-C7_6669,Q04695,CON__Q04695;Q04695;CON__P19001;CON__Q9C075;CON__Q99PS0;Q9C075,T_D3_178,T_D3_178,TERM,D3,1,111.01,POSITIVE,true
PXD064962_UCD_EVENT,University College Dublin / Conway Institute,protein_groups,51,LFQ intensity T_D3_178_2_S1-D7_6670,LFQ intensity T_D3_178_2_S1-D7_6670:51,T_D3_178_2_S1-D7_6670,Q04695,CON__Q04695;Q04695;CON__P19001;CON__Q9C075;CON__Q99PS0;Q9C075,T_D3_178,T_D3_178,TERM,D3,2,169.49,POSITIVE,true
PXD064962_UCD_EVENT,University College Dublin / Conway Institute,protein_groups,51,LFQ intensity T_D3_198_1_S1-C8_6671,LFQ intensity T_D3_198_1_S1-C8_6671:51,T_D3_198_1_S1-C8_6671,Q04695,CON__Q04695;Q04695;CON__P19001;CON__Q9C075;CON__Q99PS0;Q9C075,T_D3_198,T_D3_198,TERM,D3,1,4926500.0,POSITIVE,true
PXD064962_UCD_EVENT,University College Dublin / Conway Institute,protein_groups,51,LFQ intensity T_D3_198_2_S1-D8_6672,LFQ intensity T_D3_198_2_S1-D8_6672:51,T_D3_198_2_S1-D8_6672,Q04695,CON__Q04695;Q04695;CON__P19001;CON__Q9C075;CON__Q99PS0;Q9C075,T_D3_198,T_D3_198,TERM,D3,2,5077700.0,POSITIVE,true
PXD064962_UCD_EVENT,University College Dublin / Conway Institute,protein_groups,149,LFQ intensity PT_D1_16_1_S1-A1_6641,LFQ intensity PT_D1_16_1_S1-A1_6641:149,PT_D1_16_1_S1-A1_6641,P04004,P04004;CON__Q3ZBS7,PT_D1_16,PT_D1_16,PRETERM,D1,1,2924100.0,POSITIVE,true
PXD064962_UCD_EVENT,University College Dublin / Conway Institute,protein_groups,149,LFQ intensity PT_D1_16_2_S1-B1_6642,LFQ intensity PT_D1_16_2_S1-B1_6642:149,PT_D1_16_2_S1-B1_6642,P04004,P04004;CON__Q3ZBS7,PT_D1_16,PT_D1_16,PRETERM,D1,2,2918300.0,POSITIVE,true
PXD064962_UCD_EVENT,University College Dublin / Conway Institute,protein_groups,149,LFQ intensity PT_D1_18_1_S1-C1_6657,LFQ intensity PT_D1_18_1_S1-C1_6657:149,PT_D1_18_1_S1-C1_6657,P04004,P04004;CON__Q3ZBS7,PT_D1_18,PT_D1_18,PRETERM,D1,1,1559500.0,POSITIVE,true
