target_observation_id,outer_fold_id,split_role,source_id,laboratory_anchor,canonical_accession,measurement_batch_id,biological_unit_id,source_asset_id,source_row,source_coordinate,source_identifier,author_numeric_value,source_local_rank_percentile,source_batch_positive_count,target_membership_basis,cross_source_scale_use,target_universe_count
T197_475be51bd6077344cb09,T197_OUTER_03,TEST,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,Q04695,PT_D3_96,PT_D3_96,protein_groups,51,LFQ intensity PT_D3_96_1_S1-A4_6647:51,CON__Q04695;Q04695;CON__P19001;CON__Q9C075;CON__Q99PS0;Q9C075,462.34,0.071428571428571425,15,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,13
T197_479b9ec040a5414b5be9,T197_OUTER_03,TEST,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,Q9HDC9,PT_D3_96,PT_D3_96,protein_groups,385,LFQ intensity PT_D3_96_2_S1-B4_6648:385,Q9HDC9,43773.0,0.42857142857142855,15,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,13
T197_488f4656b702a653902e,T197_OUTER_03,TEST,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P07996,T_D1_186,T_D1_186,protein_groups,202,LFQ intensity T_D1_186_1_S1-C6_6667:202,P07996;CON__Q28194;P35442,32044.0,0.30769230769230771,14,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,13
T197_48b5bf48b6493e5c509d,T197_OUTER_03,TEST,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P07996,T_D1_173,T_D1_173,protein_groups,202,LFQ intensity T_D1_173_2_S1-F6_6684:202,P07996;CON__Q28194;P35442,392970.0,0.7142857142857143,15,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,13
T197_48f2b9237ef49abe540f,T197_OUTER_03,TEST,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,Q9HDC9,PT_D1_33,PT_D1_33,protein_groups,385,LFQ intensity PT_D1_33_1_S1-A2_6643:385,Q9HDC9,38841.0,0.4375,17,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,13
T197_4992fb546ef19fa52094,T197_OUTER_03,TEST,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P07996,PT_D3_37,PT_D3_37,protein_groups,202,LFQ intensity PT_D3_37_2_S1-H5_6696:202,P07996;CON__Q28194;P35442,66581.0,0.38461538461538464,14,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,13
T197_4b0f72c04fa8d1cadd97,T197_OUTER_03,TEST,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P04264,PT_D3_85,PT_D3_85,protein_groups,160,LFQ intensity PT_D3_85_1_S1-E4_6679:160,P04264;CON__P04264;CON__Q6IFZ6;CON__H-INV:HIT000016045;CON__Q9H552,230900.0,0.54545454545454541,12,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,13
T197_4b870e67e43718781030,T197_OUTER_03,TEST,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P04004,PT_D1_34,PT_D1_34,protein_groups,149,LFQ intensity PT_D1_34_2_S1-D2_6660:149,P04004;CON__Q3ZBS7,2157400.0,0.83333333333333337,13,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,13
T197_4b9d343515fefbdf4422,T197_OUTER_03,TEST,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,Q04695,T_D1_165,T_D1_165,protein_groups,51,LFQ intensity T_D1_165_2_S1-B7_6654:51,CON__Q04695;Q04695;CON__P19001;CON__Q9C075;CON__Q99PS0;Q9C075,472.65,0,15,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,13
T197_4d0a2a972898ac30d69b,T197_OUTER_03,TEST,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,Q9HDC9,PT_D3_85,PT_D3_85,protein_groups,385,LFQ intensity PT_D3_85_1_S1-E4_6679:385,Q9HDC9,42401.0,0.27272727272727271,12,DEVELOPMENT_SOURCES_ONLY,PROHIBITED,13
