analysis_unit_id,source_article_doi,source_pmcid,source_license,source_asset_id,source_worksheet,source_row,source_cell_range,source_condition_id,protein_source_identifier,quantification_column,author_reported_quantification
PMC7788026:Urea-PC:1499,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1499,Urea-PC!A1499:Q1499,PMC7788026:UREA_PC,Q96EE4,Top3_normalized_Urea,0.004202274027100425
PMC7788026:Urea-PC:1500,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1500,Urea-PC!A1500:Q1500,PMC7788026:UREA_PC,O43827,Top3_normalized_Urea,0.0041858636425572216
PMC7788026:Urea-PC:1501,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1501,Urea-PC!A1501:Q1501,PMC7788026:UREA_PC,P55039,Top3_normalized_Urea,0.0041706688420542551
PMC7788026:Urea-PC:1502,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1502,Urea-PC!A1502:Q1502,PMC7788026:UREA_PC,Q8N9U0,Top3_normalized_Urea,0.0041508143027303782
PMC7788026:Urea-PC:1503,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1503,Urea-PC!A1503:Q1503,PMC7788026:UREA_PC,Q96H79,Top3_normalized_Urea,0.0041427104091287968
PMC7788026:Urea-PC:1504,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1504,Urea-PC!A1504:Q1504,PMC7788026:UREA_PC,Q96B86,Top3_normalized_Urea,0.004126907816605711
PMC7788026:Urea-PC:1505,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1505,Urea-PC!A1505:Q1505,PMC7788026:UREA_PC,Q58FF6,Top3_normalized_Urea,0.0040742325081954273
PMC7788026:Urea-PC:1506,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1506,Urea-PC!A1506:Q1506,PMC7788026:UREA_PC,Q14137,Top3_normalized_Urea,0.0040718013401149526
PMC7788026:Urea-PC:1507,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1507,Urea-PC!A1507:Q1507,PMC7788026:UREA_PC,O60907,Top3_normalized_Urea,0.0040645078358735286
PMC7788026:Urea-PC:1508,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1508,Urea-PC!A1508:Q1508,PMC7788026:UREA_PC,P45452,Top3_normalized_Urea,0.0040497182300506408
PMC7788026:Urea-PC:1509,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1509,Urea-PC!A1509:Q1509,PMC7788026:UREA_PC,P49448,Top3_normalized_Urea,0.0039926056346988115
PMC7788026:Urea-PC:1510,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1510,Urea-PC!A1510:Q1510,PMC7788026:UREA_PC,Q9GZP4,Top3_normalized_Urea,0.0039749598115760461
PMC7788026:Urea-PC:1511,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1511,Urea-PC!A1511:Q1511,PMC7788026:UREA_PC,Q15904,Top3_normalized_Urea,0.0039676663073346221
PMC7788026:Urea-PC:1512,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1512,Urea-PC!A1512:Q1512,PMC7788026:UREA_PC,Q9H2M3,Top3_normalized_Urea,0.0039536870908718925
PMC7788026:Urea-PC:1513,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1513,Urea-PC!A1513:Q1513,PMC7788026:UREA_PC,Q15363,Top3_normalized_Urea,0.0039247156712462362
PMC7788026:Urea-PC:1514,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1514,Urea-PC!A1514:Q1514,PMC7788026:UREA_PC,Q6NUM9,Top3_normalized_Urea,0.0038874377606789587
PMC7788026:Urea-PC:1515,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1515,Urea-PC!A1515:Q1515,PMC7788026:UREA_PC,Q9Y216,Top3_normalized_Urea,0.0038554273809527093
PMC7788026:Urea-PC:1516,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1516,Urea-PC!A1516:Q1516,PMC7788026:UREA_PC,Q6PIU2,Top3_normalized_Urea,0.003852185823512076
PMC7788026:Urea-PC:1517,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1517,Urea-PC!A1517:Q1517,PMC7788026:UREA_PC,P48739,Top3_normalized_Urea,0.0038513754341519177
PMC7788026:Urea-PC:1518,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1518,Urea-PC!A1518:Q1518,PMC7788026:UREA_PC,Q96JB5,Top3_normalized_Urea,0.0038076144087033741
PMC7788026:Urea-PC:1519,10.1186/s12645-020-00071-6,PMC7788026,CC-BY-4.0,urea_pc_table,Urea-PC,1519,Urea-PC!A1519:Q1519,PMC7788026:UREA_PC,Q9NVH0,Top3_normalized_Urea,0.0038066014220031765
