external_target_observation_id,source_id,laboratory_anchor,canonical_accession,measurement_batch_id,source_worksheet,source_row,source_coordinate,author_quantity_type,author_numeric_value,rank_percentile_descending,measurement_batch_positive_protein_count
R4PMC11544298:data_1:Supp Data 1:15596:R4_PMC11544298_data_1_Sauce_1_100_Rep_2,PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,P55072,R4_PMC11544298_data_1_Sauce_1_100_Rep_2,Supp Data 1,15596,J15596,NORMALIZED_INTENSITY,2.1699999999999999e-05,0.45161290322580644,32
R4PMC11544298:data_1:Supp Data 1:15596:R4_PMC11544298_data_1_Sauce_1_100_Rep_3,PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,P55072,R4_PMC11544298_data_1_Sauce_1_100_Rep_3,Supp Data 1,15596,K15596,NORMALIZED_INTENSITY,2.2799999999999999e-05,0.5161290322580645,32
R4PMC11544298:data_1:Supp Data 1:15623:R4_PMC11544298_data_1_Sauce_1_100_Rep_1,PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,P11166,R4_PMC11544298_data_1_Sauce_1_100_Rep_1,Supp Data 1,15623,I15623,NORMALIZED_INTENSITY,2.9300000000000001e-05,0.53125,33
R4PMC11544298:data_1:Supp Data 1:15623:R4_PMC11544298_data_1_Sauce_1_100_Rep_2,PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,P11166,R4_PMC11544298_data_1_Sauce_1_100_Rep_2,Supp Data 1,15623,J15623,NORMALIZED_INTENSITY,2.6800000000000001e-05,0.5161290322580645,32
R4PMC11544298:data_1:Supp Data 1:15623:R4_PMC11544298_data_1_Sauce_1_100_Rep_3,PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,P11166,R4_PMC11544298_data_1_Sauce_1_100_Rep_3,Supp Data 1,15623,K15623,NORMALIZED_INTENSITY,1.4e-05,0.40322580645161288,32
R4PMC11544298:data_1:Supp Data 1:15627:R4_PMC11544298_data_1_Sauce_1_100_Rep_1,PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,O15145,R4_PMC11544298_data_1_Sauce_1_100_Rep_1,Supp Data 1,15627,I15627,NORMALIZED_INTENSITY,1.91e-05,0.46875,33
R4PMC11544298:data_1:Supp Data 1:15627:R4_PMC11544298_data_1_Sauce_1_100_Rep_2,PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,O15145,R4_PMC11544298_data_1_Sauce_1_100_Rep_2,Supp Data 1,15627,J15627,NORMALIZED_INTENSITY,2.2200000000000001e-05,0.4838709677419355,32
R4PMC11544298:data_1:Supp Data 1:15627:R4_PMC11544298_data_1_Sauce_1_100_Rep_3,PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,O15145,R4_PMC11544298_data_1_Sauce_1_100_Rep_3,Supp Data 1,15627,K15627,NORMALIZED_INTENSITY,1.17e-05,0.29032258064516131,32
R4PMC11544298:data_1:Supp Data 1:15628:R4_PMC11544298_data_1_Sauce_1_100_Rep_1,PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,P10809,R4_PMC11544298_data_1_Sauce_1_100_Rep_1,Supp Data 1,15628,I15628,NORMALIZED_INTENSITY,2.6199999999999999e-06,0.15625,33
R4PMC11544298:data_1:Supp Data 1:15632:R4_PMC11544298_data_1_Sauce_1_100_Rep_1,PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,P26641,R4_PMC11544298_data_1_Sauce_1_100_Rep_1,Supp Data 1,15632,I15632,NORMALIZED_INTENSITY,4.2799999999999997e-06,0.1875,33
R4PMC11544298:data_1:Supp Data 1:15632:R4_PMC11544298_data_1_Sauce_1_100_Rep_2,PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,P26641,R4_PMC11544298_data_1_Sauce_1_100_Rep_2,Supp Data 1,15632,J15632,NORMALIZED_INTENSITY,3.6600000000000001e-06,0.16129032258064516,32
R4PMC11544298:data_1:Supp Data 1:15632:R4_PMC11544298_data_1_Sauce_1_100_Rep_3,PMC11544298_SMALL_MOLECULE_HUMAN_PLASMA_CORONA,Michigan State University-led small-molecule protein-corona study,P26641,R4_PMC11544298_data_1_Sauce_1_100_Rep_3,Supp Data 1,15632,K15632,NORMALIZED_INTENSITY,4.1300000000000003e-06,0.16129032258064516,32
