analysis_unit_id,source_article_doi,source_pmcid,source_license,source_asset_id,source_worksheet,source_row,source_cell_range,core_facility_code,protein_ids,gene_names,replicate_1,replicate_2,replicate_3,mean_value,cv_percent,good_center,similar_instrument,replicate_count
PMC11328176:SuppData1:11:Q16643,10.1021/acs.nanolett.4c02076,PMC11328176,CC-BY-4.0,nl4c02076_si_002.xlsx,Supp Data 1,2651|5773|8895,Supp Data 1!P2651|Supp Data 1!P5773|Supp Data 1!P8895,11,Q16643,DBN1,2.07036355506699e-05,1.6577049916447e-05,4.31926952362762e-05,2.68244602344643e-05,53.4015666955361,Yes,No,3
PMC11328176:SuppData1:11:Q16762,10.1021/acs.nanolett.4c02076,PMC11328176,CC-BY-4.0,nl4c02076_si_002.xlsx,Supp Data 1,2837|5959|9081,Supp Data 1!P2837|Supp Data 1!P5959|Supp Data 1!P9081,11,Q16762,TST,1.37777491888702e-05,1.17992036591963e-05,1.00857191199831e-05,1.18875573226832e-05,15.5423026940215,Yes,No,3
PMC11328176:SuppData1:11:Q16778,10.1021/acs.nanolett.4c02076,PMC11328176,CC-BY-4.0,nl4c02076_si_002.xlsx,Supp Data 1,2928|6050|9172,Supp Data 1!P2928|Supp Data 1!P6050|Supp Data 1!P9172,11,Q16778,H2BC21,2.49547313860059e-06,2.78141601632279e-06,2.83598837168483e-06,2.7042925088694e-06,6.76294480854732,Yes,No,3
PMC11328176:SuppData1:11:Q2L6G2,10.1021/acs.nanolett.4c02076,PMC11328176,CC-BY-4.0,nl4c02076_si_002.xlsx,Supp Data 1,2619|5741|8863,Supp Data 1!P2619|Supp Data 1!P5741|Supp Data 1!P8863,11,Q2L6G2,HLA-B,8.5356889711966e-05,8.90423132939846e-05,8.16025375297391e-05,8.53339135118966e-05,4.3592763375781,Yes,No,3
PMC11328176:SuppData1:11:Q53GQ0,10.1021/acs.nanolett.4c02076,PMC11328176,CC-BY-4.0,nl4c02076_si_002.xlsx,Supp Data 1,2819|5941|9063,Supp Data 1!P2819|Supp Data 1!P5941|Supp Data 1!P9063,11,Q53GQ0,HSD17B12,1.66247660924076e-05,1.41095984613937e-05,1.52931913488474e-05,1.53425186342162e-05,8.20145106997665,Yes,No,3
PMC11328176:SuppData1:11:Q53Z42,10.1021/acs.nanolett.4c02076,PMC11328176,CC-BY-4.0,nl4c02076_si_002.xlsx,Supp Data 1,2469|5591|8713,Supp Data 1!P2469|Supp Data 1!P5591|Supp Data 1!P8713,11,Q53Z42,HLA-A,0.000281531993832003,0.000289228082005645,0.000302613853854402,0.000291124643230684,3.664453119583,Yes,No,3
PMC11328176:SuppData1:11:Q562R1,10.1021/acs.nanolett.4c02076,PMC11328176,CC-BY-4.0,nl4c02076_si_002.xlsx,Supp Data 1,2500|5622|8744,Supp Data 1!P2500|Supp Data 1!P5622|Supp Data 1!P8744,11,Q562R1,ACTBL2,0.00245402798815642,0.0024542761304456,0.00263830854010325,0.00251553755290176,4.22664595217902,Yes,No,3
PMC11328176:SuppData1:11:Q5JP53,10.1021/acs.nanolett.4c02076,PMC11328176,CC-BY-4.0,nl4c02076_si_002.xlsx,Supp Data 1,2413|5535|8657,Supp Data 1!P2413|Supp Data 1!P5535|Supp Data 1!P8657,11,Q5JP53,TUBB,2.82998849608116e-05,2.56450507335494e-05,1.84791161202405e-05,2.41413506048671e-05,21.0432675812944,Yes,No,3
PMC11328176:SuppData1:11:Q5JWE9,10.1021/acs.nanolett.4c02076,PMC11328176,CC-BY-4.0,nl4c02076_si_002.xlsx,Supp Data 1,2861|5983|9105,Supp Data 1!P2861|Supp Data 1!P5983|Supp Data 1!P9105,11,Q5JWE9,GNAS,4.6945626046299e-06,4.05093926946154e-06,5.58003801890218e-06,4.7751799643312e-06,16.0775196396323,Yes,No,3
PMC11328176:SuppData1:11:Q5JXI8,10.1021/acs.nanolett.4c02076,PMC11328176,CC-BY-4.0,nl4c02076_si_002.xlsx,Supp Data 1,2807|5929|9051,Supp Data 1!P2807|Supp Data 1!P5929|Supp Data 1!P9051,11,Q5JXI8,FHL1,3.76291871159734e-05,4.39640637423428e-05,4.08432360587385e-05,4.08121623056849e-05,7.76129577334977,Yes,No,3
PMC11328176:SuppData1:11:Q5R345,10.1021/acs.nanolett.4c02076,PMC11328176,CC-BY-4.0,nl4c02076_si_002.xlsx,Supp Data 1,2708|5830|8952,Supp Data 1!P2708|Supp Data 1!P5830|Supp Data 1!P8952,11,Q5R345,SELP,3.14750005817538e-05,2.92721750314075e-05,3.35988794208396e-05,3.14486850113336e-05,6.87937264025245,Yes,No,3
PMC11328176:SuppData1:11:Q5SRN7,10.1021/acs.nanolett.4c02076,PMC11328176,CC-BY-4.0,nl4c02076_si_002.xlsx,Supp Data 1,2492|5614|8736,Supp Data 1!P2492|Supp Data 1!P5614|Supp Data 1!P8736,11,Q5SRN7,HLA-A,1.22557247745351e-05,7.11704759628481e-06,1.17797582459328e-05,1.03841768722509e-05,27.3435995442581,Yes,No,3
PMC11328176:SuppData1:11:Q5SRP5,10.1021/acs.nanolett.4c02076,PMC11328176,CC-BY-4.0,nl4c02076_si_002.xlsx,Supp Data 1,2793|5915|9037,Supp Data 1!P2793|Supp Data 1!P5915|Supp Data 1!P9037,11,Q5SRP5,APOM,0.000129032725024989,0.000129106610184267,0.000132160902926886,0.000130100079378714,1.37210358047991,Yes,No,3
PMC11328176:SuppData1:11:Q5SZE1,10.1021/acs.nanolett.4c02076,PMC11328176,CC-BY-4.0,nl4c02076_si_002.xlsx,Supp Data 1,2826|5948|9070,Supp Data 1!P2826|Supp Data 1!P5948|Supp Data 1!P9070,11,Q5SZE1,CERS2,9.61328647204653e-06,8.1679145169614e-06,8.69441416596398e-06,8.8252050516573e-06,8.28885578442607,Yes,No,3
PMC11328176:SuppData1:11:Q5T0I0,10.1021/acs.nanolett.4c02076,PMC11328176,CC-BY-4.0,nl4c02076_si_002.xlsx,Supp Data 1,2527|5649|8771,Supp Data 1!P2527|Supp Data 1!P5649|Supp Data 1!P8771,11,Q5T0I0,GSN,7.66089096058008e-06,8.32243759863571e-06,1.1147704959584e-05,9.04367783959993e-06,20.4775122915213,Yes,No,3
