source_id,canonical_accession,source_identifier,source_analysis_unit_id,source_asset_id,source_worksheet,source_row,source_coordinate
PXD017052_SEER_BROAD,P01275,P01275,PXD017052:Sheet1:330:EXP18102_X1066_A_MSB37240A,supplementary_data_2_lfq,Sheet1,330,Sheet1!BO330
PXD017052_SEER_BROAD,P01275,P01275,PXD017052:Sheet1:330:EXP18102_X1067_A_MSB37241A,supplementary_data_2_lfq,Sheet1,330,Sheet1!BP330
PXD017052_SEER_BROAD,P01275,P01275,PXD017052:Sheet1:330:EXP18102_X1068_A_MSB37242A,supplementary_data_2_lfq,Sheet1,330,Sheet1!BQ330
PXD017052_SEER_BROAD,P01275,P01275,PXD017052:Sheet1:330:EXP18102_X1108_A_MSB37282A,supplementary_data_2_lfq,Sheet1,330,Sheet1!BR330
PXD017052_SEER_BROAD,P01275,P01275,PXD017052:Sheet1:330:EXP18102_X1109_A_MSB37283A,supplementary_data_2_lfq,Sheet1,330,Sheet1!BS330
PXD017052_SEER_BROAD,P01275,P01275,PXD017052:Sheet1:330:EXP18102_X1110_B_MSB37284B,supplementary_data_2_lfq,Sheet1,330,Sheet1!BT330
PXD017052_SEER_BROAD,P01275,P01275,PXD017052:Sheet1:330:EXP18102_X1114_A_MSB37288A,supplementary_data_2_lfq,Sheet1,330,Sheet1!BU330
PXD017052_SEER_BROAD,P01275,P01275,PXD017052:Sheet1:330:EXP18102_X1115_A_MSB37289A,supplementary_data_2_lfq,Sheet1,330,Sheet1!BV330
PXD017052_SEER_BROAD,P01275,P01275,PXD017052:Sheet1:330:EXP18102_X1116_A_MSB37290A,supplementary_data_2_lfq,Sheet1,330,Sheet1!BW330
PXD017052_SEER_BROAD,P04004,P04004;CON__Q3ZBS7,PXD017052:Sheet1:381:EXP18102_X1066_A_MSB37240A,supplementary_data_2_lfq,Sheet1,381,Sheet1!BO381
PXD017052_SEER_BROAD,P04004,P04004;CON__Q3ZBS7,PXD017052:Sheet1:381:EXP18102_X1067_A_MSB37241A,supplementary_data_2_lfq,Sheet1,381,Sheet1!BP381
PXD017052_SEER_BROAD,P04004,P04004;CON__Q3ZBS7,PXD017052:Sheet1:381:EXP18102_X1068_A_MSB37242A,supplementary_data_2_lfq,Sheet1,381,Sheet1!BQ381
PXD017052_SEER_BROAD,P04004,P04004;CON__Q3ZBS7,PXD017052:Sheet1:381:EXP18102_X1108_A_MSB37282A,supplementary_data_2_lfq,Sheet1,381,Sheet1!BR381
PXD017052_SEER_BROAD,P04004,P04004;CON__Q3ZBS7,PXD017052:Sheet1:381:EXP18102_X1109_A_MSB37283A,supplementary_data_2_lfq,Sheet1,381,Sheet1!BS381
PXD017052_SEER_BROAD,P04004,P04004;CON__Q3ZBS7,PXD017052:Sheet1:381:EXP18102_X1110_B_MSB37284B,supplementary_data_2_lfq,Sheet1,381,Sheet1!BT381
PXD017052_SEER_BROAD,P04004,P04004;CON__Q3ZBS7,PXD017052:Sheet1:381:EXP18102_X1114_A_MSB37288A,supplementary_data_2_lfq,Sheet1,381,Sheet1!BU381
PXD017052_SEER_BROAD,P04004,P04004;CON__Q3ZBS7,PXD017052:Sheet1:381:EXP18102_X1115_A_MSB37289A,supplementary_data_2_lfq,Sheet1,381,Sheet1!BV381
PXD017052_SEER_BROAD,P04004,P04004;CON__Q3ZBS7,PXD017052:Sheet1:381:EXP18102_X1116_A_MSB37290A,supplementary_data_2_lfq,Sheet1,381,Sheet1!BW381
PXD017052_SEER_BROAD,P04264,P04264;CON__P04264,PXD017052:Sheet1:389:EXP18102_X1066_A_MSB37240A,supplementary_data_2_lfq,Sheet1,389,Sheet1!BO389
PXD017052_SEER_BROAD,P04264,P04264;CON__P04264,PXD017052:Sheet1:389:EXP18102_X1067_A_MSB37241A,supplementary_data_2_lfq,Sheet1,389,Sheet1!BP389
PXD017052_SEER_BROAD,P04264,P04264;CON__P04264,PXD017052:Sheet1:389:EXP18102_X1068_A_MSB37242A,supplementary_data_2_lfq,Sheet1,389,Sheet1!BQ389
PXD017052_SEER_BROAD,P04264,P04264;CON__P04264,PXD017052:Sheet1:389:EXP18102_X1108_A_MSB37282A,supplementary_data_2_lfq,Sheet1,389,Sheet1!BR389
PXD017052_SEER_BROAD,P04264,P04264;CON__P04264,PXD017052:Sheet1:389:EXP18102_X1109_A_MSB37283A,supplementary_data_2_lfq,Sheet1,389,Sheet1!BS389
PXD017052_SEER_BROAD,P04264,P04264;CON__P04264,PXD017052:Sheet1:389:EXP18102_X1110_B_MSB37284B,supplementary_data_2_lfq,Sheet1,389,Sheet1!BT389
PXD017052_SEER_BROAD,P04264,P04264;CON__P04264,PXD017052:Sheet1:389:EXP18102_X1114_A_MSB37288A,supplementary_data_2_lfq,Sheet1,389,Sheet1!BU389
PXD017052_SEER_BROAD,P04264,P04264;CON__P04264,PXD017052:Sheet1:389:EXP18102_X1115_A_MSB37289A,supplementary_data_2_lfq,Sheet1,389,Sheet1!BV389
PXD017052_SEER_BROAD,P04264,P04264;CON__P04264,PXD017052:Sheet1:389:EXP18102_X1116_A_MSB37290A,supplementary_data_2_lfq,Sheet1,389,Sheet1!BW389
PXD017052_SEER_BROAD,P04844,P04844-2;P04844,PXD017052:Sheet1:394:EXP18102_X1066_A_MSB37240A,supplementary_data_2_lfq,Sheet1,394,Sheet1!BO394
PXD017052_SEER_BROAD,P04844,P04844-2;P04844,PXD017052:Sheet1:394:EXP18102_X1067_A_MSB37241A,supplementary_data_2_lfq,Sheet1,394,Sheet1!BP394
PXD017052_SEER_BROAD,P04844,P04844-2;P04844,PXD017052:Sheet1:394:EXP18102_X1068_A_MSB37242A,supplementary_data_2_lfq,Sheet1,394,Sheet1!BQ394
