source_id,source_identifier,candidate_tokens,resolved_canonical_accession,resolution_status
PXD017052_SEER_BROAD,A0A1W2PRZ0;A0A140T937;A0A140T912;A0A140T930;A0A140T9Z4,,,NO_SUPPORTED_UNIPROT_TOKEN
PXD017052_SEER_BROAD,A0A1W2PSE7;P04439-2;P04439;Q5SRN5;A0A0G2JIF2;Q5SRN7;A0A0G2JI36;A0A1W2PS24;A0A1W2PQD0;A0A0G2JL56;P01893;A0A140T913;A0A1W2PPQ2;A0A1W2PRT9;A0A140T955;A0A1W2PQZ3;A0A1W2PQE2;A0A1W2PP29,accession:P01893;accession:P04439;accession:Q5SRN5;accession:Q5SRN7,,AMBIGUOUS_MULTI_ACCESSION_GROUP
PXD017052_SEER_BROAD,A0A2Q2TTZ9;P01593,accession:P01593,P01593,UNIQUE_HUMAN_CANONICAL_ACCESSION
PXD017052_SEER_BROAD,A0A2R8Y5M6;P51572;P51572-2,accession:P51572,P51572,UNIQUE_HUMAN_CANONICAL_ACCESSION
PXD017052_SEER_BROAD,A0A2R8Y6G7;E9PKG6;Q2L696;P80303-2;P80303,accession:E9PKG6;accession:P80303;accession:Q2L696,,AMBIGUOUS_MULTI_ACCESSION_GROUP
PXD017052_SEER_BROAD,A0A2R8YCT7;A0A2R8Y6X2;Q8TEA8,accession:Q8TEA8,Q8TEA8,UNIQUE_HUMAN_CANONICAL_ACCESSION
PXD017052_SEER_BROAD,A0A2R8YD50;E7EWE5;P51659-3;P51659;P51659-2;E7ER27;A0A2R8Y7L2;G5E9S2;E7ET17;E7EPL9;A0A2R8YF45;A0A2R8Y7W2,accession:E7EPL9;accession:E7ER27;accession:E7ET17;accession:E7EWE5;accession:G5E9S2;accession:P51659,,AMBIGUOUS_MULTI_ACCESSION_GROUP
PXD017052_SEER_BROAD,A0A3B3ISF1;A0A3B3IU51;A0A3B3ISZ5;A0A3B3IRI3;A0A1B0GTW1;A0A2R8YDH4;Q9UDY2-5;Q9UDY2-4;Q9UDY2-2;Q9UDY2-6;Q9UDY2-3;Q9UDY2;Q9UDY2-7,accession:Q9UDY2,Q9UDY2,UNIQUE_HUMAN_CANONICAL_ACCESSION
PXD017052_SEER_BROAD,A0A3B3ISJ1;P07225;G5E9F8;A0A3B3IRK9;CON__P07224,accession:G5E9F8;accession:P07225,,AMBIGUOUS_MULTI_ACCESSION_GROUP
PXD017052_SEER_BROAD,A0A3B3ISU0;Q02487-2;Q02487,accession:Q02487,Q02487,UNIQUE_HUMAN_CANONICAL_ACCESSION
PXD017052_SEER_BROAD,A0A3B3ITK0;P35442,accession:P35442,P35442,UNIQUE_HUMAN_CANONICAL_ACCESSION
PXD017052_SEER_BROAD,A0A3B3ITT3;A0A0C4DFN3;Q99685;E7EWX8;Q99685-2,accession:E7EWX8;accession:Q99685,Q99685,UNIQUE_HUMAN_CANONICAL_ACCESSION
PXD017052_SEER_BROAD,A0A3B3IU24;Q92743,accession:Q92743,Q92743,UNIQUE_HUMAN_CANONICAL_ACCESSION
PXD017052_SEER_BROAD,A0A3B3IUE0;F8VYK9;P24592,accession:F8VYK9;accession:P24592,,AMBIGUOUS_MULTI_ACCESSION_GROUP
