external_target_observation_id,source_id,laboratory_anchor,canonical_accession,biological_unit_id,measurement_batch_id,technical_replicate_count,source_coordinates,author_positive_values,rank_percentile_mean_across_positive_technical_replicates,measurement_batch_positive_unique_target_count,coverage_stratum
R4PXD064962:PT_D1_48:P60174,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P60174,PT_D1_48,PT_D1_48,2,LFQ intensity PT_D1_48_1_S1-E2_6675:313;LFQ intensity PT_D1_48_2_S1-F2_6676:313,58681.0;49193.0,0.19367965995266387,9,GE5_LT10
R4PXD064962:PT_D1_48:Q04695,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,Q04695,PT_D1_48,PT_D1_48,2,LFQ intensity PT_D1_48_1_S1-E2_6675:51;LFQ intensity PT_D1_48_2_S1-F2_6676:51,249.32;253.4,0.0,9,GE5_LT10
R4PXD064962:PT_D1_48:Q9HDC9,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,Q9HDC9,PT_D1_48,PT_D1_48,2,LFQ intensity PT_D1_48_1_S1-E2_6675:385;LFQ intensity PT_D1_48_2_S1-F2_6676:385,38684.0;18962.0,0.08786166256098149,9,GE5_LT10
R4PXD064962:PT_D1_51:P04004,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P04004,PT_D1_51,PT_D1_51,2,LFQ intensity PT_D1_51_1_S1-G2_6689:149;LFQ intensity PT_D1_51_2_S1-H2_6690:149,2164900.0;2113800.0,0.8245603015075377,9,GE5_LT10
R4PXD064962:PT_D1_51:P04264,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P04264,PT_D1_51,PT_D1_51,2,LFQ intensity PT_D1_51_1_S1-G2_6689:160;LFQ intensity PT_D1_51_2_S1-H2_6690:160,557030.0;546570.0,0.6541457286432161,9,GE5_LT10
R4PXD064962:PT_D1_51:P06396,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P06396,PT_D1_51,PT_D1_51,2,LFQ intensity PT_D1_51_1_S1-G2_6689:178;LFQ intensity PT_D1_51_2_S1-H2_6690:178,2200300.0;2369600.0,0.8396105527638191,9,GE5_LT10
R4PXD064962:PT_D1_51:P07996,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P07996,PT_D1_51,PT_D1_51,2,LFQ intensity PT_D1_51_1_S1-G2_6689:202;LFQ intensity PT_D1_51_2_S1-H2_6690:202,118410.0;59381.0,0.3130778894472362,9,GE5_LT10
R4PXD064962:PT_D1_51:P11021,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P11021,PT_D1_51,PT_D1_51,2,LFQ intensity PT_D1_51_1_S1-G2_6689:229;LFQ intensity PT_D1_51_2_S1-H2_6690:229,39848.0;20722.0,0.09512562814070352,9,GE5_LT10
R4PXD064962:PT_D1_51:P26038,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P26038,PT_D1_51,PT_D1_51,1,LFQ intensity PT_D1_51_1_S1-G2_6689:274,22913.0,0.04,9,GE5_LT10
R4PXD064962:PT_D1_51:P30041,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P30041,PT_D1_51,PT_D1_51,2,LFQ intensity PT_D1_51_1_S1-G2_6689:283;LFQ intensity PT_D1_51_2_S1-H2_6690:283,37424.0;34047.0,0.1227889447236181,9,GE5_LT10
R4PXD064962:PT_D1_51:Q04695,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,Q04695,PT_D1_51,PT_D1_51,2,LFQ intensity PT_D1_51_1_S1-G2_6689:51;LFQ intensity PT_D1_51_2_S1-H2_6690:51,367.55;360.27,0.0,9,GE5_LT10
R4PXD064962:PT_D1_51:Q9HDC9,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,Q9HDC9,PT_D1_51,PT_D1_51,2,LFQ intensity PT_D1_51_1_S1-G2_6689:385;LFQ intensity PT_D1_51_2_S1-H2_6690:385,40593.0;38624.0,0.14787688442211055,9,GE5_LT10
R4PXD064962:PT_D1_73:P04004,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P04004,PT_D1_73,PT_D1_73,2,LFQ intensity PT_D1_73_1_S1-A3_6645:149;LFQ intensity PT_D1_73_2_S1-B3_6646:149,3262100.0;3251000.0,0.8498834498834499,9,GE5_LT10
